Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,38.15,0.7,6.5,12.4,-0.8,1.01,8.09
1895-02,16.33,-1.3,3.9,9,-3,0.98,6.25
1895-03,52.97,7.7,14.3,20.9,4.4,2.12,15.34
1895-04,59.81,12.8,20,27.1,9.2,2.88,23.77
1895-05,104.14,16.2,22.2,28.3,14.1,2.47,22.5
1895-06,167.54,20.6,26.3,31.9,18.6,2.93,26.34
1895-07,134.69,23,28.5,34.1,20.5,3.51,27.37
1895-08,28.66,22.9,29.2,35.5,18.3,5.82,37.33
1895-09,15.36,21.3,27.6,33.9,16.7,5.24,34.01
1895-10,63.39,10.3,17.5,24.8,6.8,2.46,21.08
1895-11,112.41,6.5,12,17.5,3.9,1.26,11.05
1895-12,85.75,1.5,8.3,15.1,0,1.09,10.41
1896-01,73.74,2.7,7.8,12.9,1.7,0.99,7.7
1896-02,74.49,3.4,10.2,17,1.5,1.31,12.2
1896-03,47.76,5.8,12.6,19.3,2.8,1.85,14.37
1896-04,36.76,14.5,20.7,26.9,11.4,2.87,21.67
1896-05,84.21,19.8,25.8,31.8,16.6,3.67,28.08
1896-06,27.94,21.4,28.9,36.4,17.4,4.74,38.1
1896-07,52.3,23.4,29.9,36.4,19,5.66,36.93
1896-08,50.4,23.3,30.5,37.7,17.9,7.03,45.88
1896-09,72.94,18.3,25.5,32.8,13.8,4.46,34.29
1896-10,101.68,11.7,18.3,24.9,8.9,2.29,19.58
1896-11,35.3,9,14.5,19.9,4.8,1.63,13.47
1896-12,34.23,2.3,9.9,17.6,-0.1,1.41,13.74
1897-01,83.71,-0.6,5,10.7,-1.2,0.85,6.97
1897-02,6.15,2.7,9.6,16.6,0.9,1.28,11.84
1897-03,197.37,8.2,14.5,20.9,6.8,1.43,14.26
1897-04,69.96,10.5,17.7,24.8,7.9,2.16,20.27
1897-05,140.58,16,22.2,28.4,13.8,2.5,22.59
1897-06,95.91,20.6,26.9,33.1,17.4,3.82,30.72
1897-07,27.96,23.2,30.4,37.6,17.9,6.7,45.17
1897-08,50.32,21.6,29,36.3,17.6,4.98,41
1897-09,60.17,17.5,25.4,33.4,13,4.46,36.56
1897-10,78.57,15,21.7,28.4,11.6,3.31,24.72
1897-11,19.15,7.1,13.9,20.8,4.3,1.88,15.69
1897-12,70.25,1.6,7.1,12.6,0,1.11,8.47
1898-01,61.15,2.1,8.6,15.1,1,1.05,10.25
1898-02,51.56,3.3,10.2,17.2,0.8,1.33,12.49
1898-03,75.24,6.6,12.8,19.1,4.3,1.67,13.24
1898-04,60.93,9.7,16.4,23.2,7,2.11,17.85
1898-05,127.45,17.1,23.4,29.7,14.7,2.8,24.76
1898-06,198.86,20.4,26,31.7,18.8,2.49,24.87
1898-07,65.8,21.4,27.6,33.7,18.7,3.7,30.91
1898-08,83.66,21.1,27.7,34.3,17.9,4.13,34
1898-09,31.86,18.9,25.8,32.7,14.6,4.59,33.11
1898-10,40.27,10.7,18.7,26.7,6.6,2.86,25.31
1898-11,60.19,3.3,10.3,17.4,1.3,1.4,12.62
1898-12,68.66,-1.8,4.7,11.2,-2.8,0.92,7.91
1899-01,40.68,1.6,6.9,12.3,0,1.06,7.98
1899-02,26.99,-2.7,3.2,9.1,-4.7,0.98,6.8
1899-03,35.41,7.2,13.9,20.5,3.4,2.16,15.88
1899-04,80.24,12.6,18.1,23.6,10.2,2.25,15.86
1899-05,125.78,20,25.2,30.4,18.3,2.82,21.94
1899-06,136.89,22.3,27.3,32.4,19.8,3.55,25.36
1899-07,94.73,23.4,28.6,33.9,20.3,4.51,28.82
1899-08,1.89,24.8,31.5,38.2,18.1,9.03,47.39
1899-09,36.96,18.3,25.2,32.2,14,4.29,32.31
1899-10,89.14,15.2,21.7,28.1,12.2,3.1,23.84
1899-11,89.66,9.2,14.9,20.6,7.5,1.57,13.46
1899-12,86.44,3.5,8.7,13.8,2.1,1.12,8.37
1900-01,78.97,2.5,7.9,13.3,1.9,0.96,8.03
1900-02,29.66,-0.1,7.3,14.7,-1.4,1.1,10.74
