Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,6.61,1.4,7.7,13.9,-6.4,1.8,12.04
1895-02,13.72,-0.8,6.9,14.7,-7.2,2.19,12.91
1895-03,0.92,6.1,14,21.9,-6.8,4.44,22.62
1895-04,0,8.4,17.5,26.6,-4.9,6.86,31.45
1895-05,12.36,13.6,21.6,29.6,1.7,9.46,36.55
1895-06,9.6,17.2,25.3,33.4,5,11.22,44.97
1895-07,81.97,20.4,26.7,33.1,14.1,8.32,35.92
1895-08,61.91,19.7,26.2,32.7,14,6.04,34.41
1895-09,26.29,17.8,24.3,30.8,8.8,6.44,34.44
1895-10,28.84,7.9,15.7,23.5,4.3,2.91,21.76
1895-11,13.33,2.9,10.1,17.3,-3.4,2.13,14.72
1895-12,6.93,-3.8,4.7,13.3,-7.5,1.56,11.55
1896-01,5.73,0.6,8.4,16.1,-7,1.89,14.8
1896-02,4.6,1.4,8.8,16.2,-7,2.57,15.07
1896-03,0.7,6.7,14.8,23,-6.2,4.76,23.75
1896-04,1.35,9.3,18,26.6,-5,6.86,31.33
1896-05,1.13,15.6,24.2,32.7,-1.5,10.4,44.86
1896-06,18.03,19.2,27.4,35.7,6.2,13.12,52.73
1896-07,68.06,20.6,26.7,32.9,14.3,7.65,35.1
1896-08,16.41,20,26.7,33.4,12,9.82,39.11
1896-09,51.06,17.1,23.6,30.1,11.1,6.25,30.3
1896-10,45.55,10.8,17,23.1,6.3,3.02,18.58
1896-11,0.03,5.3,12.9,20.5,-4.3,2.86,18.71
1896-12,7.11,0.2,8.5,16.7,-4.7,2.26,14.24
1897-01,13.32,-1.3,5.3,11.9,-5.6,1.5,9.65
1897-02,0.75,1,9.3,17.6,-6.7,2.81,15.7
1897-03,5.96,4.7,12.9,21.1,-6.9,4.03,20.78
1897-04,7.67,8.3,17.6,26.9,-3.7,5.74,30.77
1897-05,19.06,15,23.2,31.3,2.4,8.99,38.29
1897-06,11.03,18.4,26.3,34.3,4.4,11.51,47.04
1897-07,55.1,20.7,26.9,33.1,13,7.87,37.67
1897-08,44.32,19.7,25.8,31.8,13,6.62,34.52
1897-09,70.16,16.7,22.5,28.3,12.1,5.14,26.23
1897-10,20.65,9.4,17.1,24.7,3.4,3.81,23.21
1897-11,0,2.7,12.2,21.7,-4.6,3.01,20.99
1897-12,2.59,-3,5.9,14.7,-7.5,1.67,12.55
1898-01,12.15,-2,5.5,13,-7.1,1.5,10.86
1898-02,2.76,2.6,11,19.5,-6.1,3.12,18.54
1898-03,7.72,4.1,12.3,20.6,-5.9,3.97,19.8
1898-04,17.93,11.5,18.7,25.8,-0.8,6.74,28.75
