Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,67.45,7.7,12.5,17.4,6.6,1.06,9.33
1895-02,80.83,3.7,7.9,12.2,2.6,1.07,5.99
1895-03,71.82,12.5,17.5,22.4,11.1,1.58,12.61
1895-04,55,14.9,20.7,26.4,13.5,1.94,18.3
1895-05,123.21,19.1,23.3,27.5,17.8,2.02,15.72
1895-06,163.34,23.4,27.1,30.8,22.3,2.1,17.07
1895-07,152.73,23.9,28.7,33.4,22.8,2.21,23.71
1895-08,134.77,23.9,28.6,33.3,22.2,2.83,24.14
1895-09,48.07,22.7,27.3,31.9,20.8,2.8,22.26
1895-10,85.21,13.9,20.2,26.5,12.1,1.92,20.25
1895-11,116.52,10.7,16,21.4,9.5,1.23,12.33
1895-12,82.73,7.6,13.2,18.9,6.9,1.05,11.15
1896-01,108.42,8,12.7,17.4,7.4,1.04,9.09
1896-02,97.25,9.2,14.6,20.1,7.8,1.32,12.51
1896-03,79.46,11.9,16.8,21.6,10.3,1.6,12.25
1896-04,96.34,18.3,21.8,25.4,16.9,1.98,12.07
1896-05,55.84,21.9,26.5,31.1,20.6,2.31,20.1
1896-06,101.85,22.9,28.7,34.5,21.6,2.39,29.68
1896-07,36.76,24.2,29.2,34.2,22.7,2.67,26.66
1896-08,99.32,24.1,29.3,34.6,22.1,3.08,28.79
1896-09,122.17,21.6,26.7,31.7,19.6,2.71,23.14
1896-10,142.37,16.4,21.1,25.9,15,1.86,15.2
1896-11,113.98,13.7,18.2,22.6,12.9,1.33,11.5
1896-12,47.09,7.3,13.3,19.3,6.8,1.22,11.67
1897-01,117.14,5.8,10.1,14.3,5.1,1.08,7
1897-02,31.61,10.2,14.8,19.4,9,1.3,10.3
1897-03,113.53,15.7,20,24.4,14.8,1.5,13.12
1897-04,87.43,15.4,20.5,25.6,13.7,1.92,16.22
1897-05,93.64,18.4,23.4,28.5,17.2,1.91,19
1897-06,71.5,22.9,27.7,32.5,21.5,2.45,23.67
1897-07,60.85,24.3,29.7,35.2,22.7,2.88,30.01
1897-08,167.97,24.2,28.7,33.2,22.4,2.98,23.91
1897-09,57.23,20.1,25.4,30.7,18,2.66,23.42
1897-10,118.58,18,23.4,28.9,16.5,2.04,20.48
1897-11,50.38,12.3,17.4,22.5,10.9,1.57,13.26
1897-12,137.68,7.3,11.7,16,6.5,1.1,7.79
1898-01,112.12,9.2,14,18.8,8.8,1.02,9.73
1898-02,95.24,9.5,15,20.4,8.4,1.27,12.15
1898-03,82.95,13.4,17.3,21.3,12.2,1.54,10.15
