Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,20.81,-4.8,2.7,10.2,-6,0.81,8.9
1895-02,57.46,-6.5,0.5,7.6,-6.1,0.46,6.33
1895-03,0.38,2,10.8,19.6,-3.1,2.12,18.1
1895-04,17.12,7.2,16.4,25.5,0.4,3.3,26.56
1895-05,69.39,12.1,19.9,27.6,7.7,3.31,26.95
1895-06,134.05,16,23.2,30.5,13.6,2.46,28.77
1895-07,164.9,18.2,24.7,31.2,16.6,2.13,26.77
1895-08,43.59,18.4,25.5,32.5,14.2,3.69,33.76
1895-09,8.15,15.3,23,30.7,11.6,3.26,30.63
1895-10,52.67,6,14,21.9,3.2,1.71,19.15
1895-11,28.19,0.2,7.9,15.6,-1.9,1.14,12.01
1895-12,2.89,-3.9,4.2,12.3,-6.7,1.1,10.75
1896-01,27.01,-2,5.6,13.3,-4.9,1.12,11.81
1896-02,10.2,-1.5,6.8,15.1,-4.9,1.27,12.99
1896-03,3.06,0.1,9.6,19,-5.1,1.86,17.46
1896-04,28.55,8.4,17.4,26.5,1.6,3.52,28.38
1896-05,11.04,15,23.8,32.6,7,5.61,39.66
1896-06,48.17,18.6,27.1,35.7,12.1,6.07,44.5
1896-07,64.85,18.7,25.7,32.7,14.9,4.15,33.16
1896-08,26.23,18.4,26.5,34.7,13.8,4.72,40.07
1896-09,57.22,13.8,21.4,29,11.2,2.51,27.07
1896-10,84.64,8.1,14.7,21.4,6.7,1.33,16.12
1896-11,12.4,1.6,9.4,17.2,-1.3,1.37,13.94
1896-12,32.1,-1.2,7,15.3,-3.9,1.33,13.45
1897-01,25.86,-5.2,0.6,6.5,-3.8,0.45,5.47
1897-02,13.94,0,7.8,15.7,-3.1,1.3,13.07
1897-03,34.14,2.5,10.9,19.3,-2,1.91,17.45
1897-04,29.1,6.1,14.9,23.7,0.3,2.77,23.57
1897-05,69.62,12.4,19.7,26.9,8,3.51,25.46
1897-06,74.78,16.6,24.5,32.3,12.3,3.87,35.12
