Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,18.17,10.1,15.6,21.1,9.7,1.02,12.16
1895-02,70.93,6.2,11.6,17,6.7,0.79,8.4
1895-03,0,14.7,20.7,26.8,13.2,1.75,19.42
1895-04,41.28,17.8,24.3,30.8,16.3,2.06,25.75
1895-05,134.15,20.5,25.4,30.3,19.5,1.76,20.23
1895-06,78.66,23.8,28.5,33.2,22,2.64,25.34
1895-07,7.88,24,29.7,35.5,22,2.8,30.79
1895-08,53.13,24.7,30.5,36.2,22.1,3.28,34.43
1895-09,41.86,24.2,29.2,34.2,22.6,2.62,26.15
1895-10,32.14,16,22.7,29.4,15.1,1.54,22.92
1895-11,39.92,12,18.2,24.4,11.5,1.1,13.36
1895-12,5.63,10.1,16.5,22.9,9,1.16,15.16
1896-01,84.39,10.9,16,21.1,10.6,0.98,13.29
1896-02,32.04,11.9,18.1,24.3,11,1.23,17.55
1896-03,0,13.9,20.1,26.2,12.2,1.77,19.75
1896-04,27.11,20.1,24.7,29.3,18.7,2.06,19.36
1896-05,0,23.6,28.8,34,21.8,2.68,26.83
1896-06,0,23.7,30.6,37.5,21.1,3.46,40.02
1896-07,17.48,23.9,30.1,36.3,21.7,3.24,34.59
1896-08,9.95,24,30.6,37.2,21.5,3.24,38.66
1896-09,123.91,22,27.8,33.6,20.2,2.49,28.31
1896-10,79.39,17.9,23.2,28.5,17.1,1.55,18.66
1896-11,0,15.3,20.6,26,14.1,1.47,15.56
1896-12,43.99,10.1,16.8,23.4,9.8,1.22,16.21
1897-01,12.9,7.7,12.9,18,7.9,0.85,8.21
1897-02,0,12.1,18.7,25.3,11.2,1.21,17.84
1897-03,1.24,16.7,23.2,29.7,15.5,1.55,22.89
1897-04,19.75,16.9,23.5,30,15.6,1.89,25
1897-05,74.34,19.9,26,32.1,19.2,1.78,25.83
1897-06,68.98,23.3,29.2,35.2,21.5,2.8,31.76
1897-07,14.4,23.9,30.7,37.5,21.9,3.83,39.15
1897-08,68.72,23.5,29.6,35.8,21.6,2.83,33.46
1897-09,58.96,20.5,26.8,33.1,19.2,2.07,28.57
1897-10,0.56,19.8,25.7,31.5,18.8,1.75,24.18
1897-11,0,14.2,20.2,26.2,13.3,1.46,18.93
1897-12,4.92,9.1,14.5,19.8,8.6,1.05,11.15
1898-01,7.27,11.6,17,22.5,11.3,1.05,13.33
1898-02,0,12.5,18.8,25,11.6,1.29,18.28
1898-03,0,15.6,20.9,26.3,13.9,1.8,17.94
1898-04,51.26,17.1,23.2,29.2,15.5,1.86,22.6
1898-05,57.38,21.7,27,32.2,20.3,2.11,23.92
1898-06,123.69,23,28.9,34.8,21.7,2.42,30.75
1898-07,51.36,22.8,29.3,35.7,21.4,2.79,33.34
1898-08,48.63,22.9,29.4,35.9,21.3,2.87,33.9
1898-09,50.67,21.7,27.8,34,20.5,2.34,28.41
1898-10,0,15.4,23.1,30.9,14.7,1.56,27.3
1898-11,31.33,11.3,17.2,23.2,10.4,1.31,14.37
1898-12,26.72,6.2,12.5,18.9,5.5,0.97,10.99
1899-01,0,8.8,14.4,20,8.9,0.94,11.06
1899-02,0,5.3,11.7,18.1,5,0.94,11.09
1899-03,0,15,22.1,29.2,12.8,2.1,27.14
1899-04,30.1,17.5,23.4,29.4,16,1.73,21.96
1899-05,61.27,23.8,29,34.2,22.2,2.51,26.43
1899-06,146.46,23.4,29,34.6,21.9,2.39,28.72
1899-07,42.72,23.7,29.7,35.6,21.7,2.88,31.32
1899-08,0,24.3,31.2,38.1,21.7,3.75,42.17
1899-09,72.76,20.7,27.3,33.8,19.3,2.2,30.35
1899-10,99.56,19.9,25.5,31.2,19.2,1.66,22.99
1899-11,60.83,13.9,20.1,26.2,13.6,1.13,15.69
1899-12,54.96,9.9,15.6,21.3,9.8,0.96,12.16
1900-01,52.31,10.3,15.7,21.1,10.2,0.94,11.33
1900-02,26.88,9.4,16,22.6,9,1.09,14.18
1900-03,59.47,15.2,20.4,25.5,13.7,1.84,16.7
1900-04,103.2,17.4,23,28.6,16.9,1.32,19.72
1900-05,84.04,20.6,26.4,32.2,19.5,1.81,24.51
1900-06,6.06,23.5,30.1,36.7,21.2,2.94,36.79
1900-07,95.87,23.4,29.3,35.2,21.7,2.72,31.44
1900-08,51.33,23.9,29.3,34.7,22.3,2.65,28
1900-09,88.66,23.5,29.5,35.5,22.2,2.23,32.3
1900-10,64.81,18.7,25.5,32.3,18.4,1.36,26.1
1900-11,1.67,13.9,20.6,27.4,12.9,1.47,20.28
1900-12,23.08,8.4,15.2,22,8.2,1.05,14.51
1901-01,7.72,9.1,15.7,22.4,11.1,0.96,13.44
1901-02,17.25,9.9,16.1,22.2,9.1,1.13,12.79
1901-03,0,12.5,20.9,29.4,10,2.09,28.47
1901-04,9.86,16.7,23.3,29.9,14.3,2.42,25.72
1901-05,39.82,20.4,26.5,32.7,18.8,2.29,27.77
1901-06,39.12,22.7,29.2,35.8,20.4,3.19,35.34
1901-07,60.19,24.7,30.3,35.8,21.6,4.22,33.64
1901-08,22.14,23.3,30.2,37.1,21.3,3.15,38.89
1901-09,107.89,21.9,27.5,33.1,20.4,2.25,27.26
1901-10,0,17.6,24.7,31.8,16.6,1.61,28.32
1901-11,15.7,13.6,20.3,26.9,12.9,1.33,19.26
1901-12,3.74,8.1,15.6,23.1,7.1,1.17,16.82
1902-01,15.84,9.5,15.5,21.5,8.4,1.16,13.79
1902-02,19.21,9.6,16.1,22.5,8.3,1.35,14.49
1902-03,0,14.8,22.3,29.8,12.7,2.04,26.6
1902-04,21.9,19.6,25.5,31.4,17.4,2.44,25.71
1902-05,56.48,23,28.3,33.6,21.4,2.55,26.3
1902-06,0,23.9,30.2,36.5,21.2,3.63,36.54
1902-07,54.86,24.1,30.2,36.3,21.9,3.21,34.41
1902-08,0,24.4,31.1,37.8,21.6,3.76,41.43
1902-09,159.82,22.5,28.9,35.4,20.3,2.75,33.58
1902-10,19.97,18,24.8,31.6,16.4,2.06,27.24
1902-11,45.79,16.7,22.6,28.4,16.4,1.14,19.01
1902-12,49.43,10.8,16.7,22.7,9.9,1.15,14.01
1903-01,51.32,8.4,14.9,21.3,8.9,0.84,12.76
1903-02,92.93,10.8,16,21.2,10.8,0.85,11.03
1903-03,69.8,13.3,18.9,24.5,13.5,0.98,14.45
1903-04,7.72,16.5,22.8,29.2,15,1.88,22.98
1903-05,65.34,20.1,25.5,30.9,19,1.81,22.37
1903-06,125.42,21.1,27.1,33,19.9,2.03,27.34
1903-07,170.3,23.8,29.3,34.9,21.8,2.91,29.73
1903-08,37.53,23.7,29.1,34.5,22.1,2.57,27.88
1903-09,56.58,21,27,33,19.6,2.13,27.19
1903-10,35.1,16.1,23.1,30.2,15.6,1.32,24.58
1903-11,0,12.2,19.3,26.4,11,1.44,20.09
1903-12,4.27,8,15.5,22.9,7.7,0.96,16.55
1904-01,0.41,6.9,14.6,22.4,7,0.92,15.8
1904-02,12.38,12,19.9,27.7,10.9,1.31,20.06
1904-03,12.12,16.6,24.2,31.7,14.5,2.16,26.55
1904-04,35.34,18.8,25,31.2,16.7,2.31,25.83
1904-05,82.18,20.1,25.8,31.6,18.8,1.93,24.34
1904-06,45.81,22.9,28.8,34.7,21.1,2.6,30.76
1904-07,98.31,22.8,28.4,34.1,21.3,2.39,28.28
1904-08,50.45,22.8,29,35.2,21.3,2.38,31.66
1904-09,143.26,22.8,28.3,33.8,21.8,2.01,26.48
1904-10,45.1,18.1,24.3,30.5,17.6,1.49,23.03
1904-11,14.76,13,19.2,25.3,12.2,1.3,17.37
1904-12,18.45,9.7,16.2,22.8,9.4,1.02,15.62
