Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,29.63,6.2,12.2,18.3,4.5,1.21,11.68
1895-02,76.92,2.2,7.9,13.6,1.6,0.9,7.63
1895-03,40.43,11.4,17.1,22.9,9.2,1.85,15.33
1895-04,17.81,14.7,21.3,27.9,11.8,2.39,23.81
1895-05,144.92,18.1,23.1,28.1,17.1,1.75,18.42
1895-06,73.47,22.4,27,31.7,20.4,2.64,23.34
1895-07,55.07,24.1,29.6,35.1,20.6,3.76,33.61
1895-08,54.01,23.8,29.6,35.4,20.2,4.04,35.76
1895-09,19.77,22.3,27.5,32.7,19.8,2.99,26.88
1895-10,41.71,13.8,20.5,27.2,11.6,2.03,22.01
1895-11,86.47,8.9,14.7,20.5,7.7,1.18,12.23
1895-12,29.57,6.8,12.7,18.7,5,1.3,12.12
1896-01,65.87,7.2,12.4,17.6,5.7,1.2,10.78
1896-02,48.77,7.6,13.8,20,5.7,1.36,14.06
1896-03,17.45,10.1,16.3,22.4,7.6,1.8,16.21
1896-04,62.52,17.2,21.7,26.2,15.4,2.04,16.38
1896-05,0,21.7,26.5,31.4,19.4,2.82,23.55
1896-06,13.26,22.8,29.4,36,19,4.06,39.44
1896-07,53.36,24.1,29.5,34.9,20.6,4.16,33.02
1896-08,52.51,23.6,29.9,36.2,19.8,4.31,38.94
1896-09,158.22,20.7,26.5,32.3,17.9,3.09,28.19
1896-10,140.6,15.4,20.4,25.5,14,1.73,16.12
1896-11,8.26,12.4,17.5,22.7,10.1,1.68,13.81
1896-12,42.46,6.4,12.9,19.4,4.9,1.39,13.61
1897-01,41.1,4.8,9.7,14.7,3.4,1.1,7.94
1897-02,1.96,9.4,15.5,21.6,6.7,1.59,15.38
1897-03,53.26,14,20,26,11.6,1.98,19.68
1897-04,53.28,14.8,20.9,27.1,12.2,2.21,21.44
1897-05,84.06,18.7,24.4,30.2,16.6,2.33,24.31
1897-06,66.49,22.5,28.1,33.7,19.8,3.18,29.99
1897-07,12.64,24.1,30.4,36.7,20.3,4.7,40.24
1897-08,78.51,23.2,29,34.8,20,3.8,33.38
1897-09,51.57,19.6,26,32.3,16.9,2.92,30.05
1897-10,55.84,17.2,23.2,29.3,14.8,2.44,23.96
1897-11,7.28,11.3,17.4,23.5,9,1.79,17.28
1897-12,31.08,5.4,11,16.7,4,1.17,10.16
1898-01,21.62,7.8,13.7,19.5,6.3,1.26,12.34
1898-02,24.86,9,15.3,21.6,6.8,1.53,15.43
1898-03,39.49,12.1,17.7,23.3,9.8,1.82,16.07
1898-04,55.18,14.8,20.9,26.9,12,2.25,21.22
1898-05,48,20.1,25.2,30.3,18,2.46,22.41
1898-06,163.77,22.6,27.9,33.3,20.4,2.78,28.12
1898-07,56.54,23.3,29.2,35.1,20.1,3.69,34.24
1898-08,70.14,23.4,29.5,35.6,19.9,3.92,36.6
1898-09,34.24,21.3,27,32.7,18.5,3.22,28.75
1898-10,9.46,14.3,21.7,29.1,11.4,2.4,26.8
1898-11,38.43,8.2,14,19.8,6.3,1.43,12.93
1898-12,36.61,3.1,8.8,14.4,1.6,1.1,8.63
1899-01,11.65,4.8,10.9,17,3.4,1.16,10.64
1899-02,6.81,1.2,8.2,15.2,-0.3,1.04,10.27
1899-03,1.6,12,19.1,26.2,8.4,2.3,23.38
1899-04,64.44,14.5,20.7,26.9,12.1,2.06,20.91
1899-05,64.07,22,26.5,31.1,20,2.72,21.93
1899-06,135.58,22.5,27.5,32.4,20.3,2.86,25.1
1899-07,77.97,23.6,29.1,34.5,20.4,3.78,31.79
1899-08,0,24,30.9,37.7,19.5,4.95,45.75
1899-09,44.3,19.5,26.2,33,16.2,3.22,32.73
1899-10,72.21,18,23.4,28.8,15.7,2.44,21.7
1899-11,55.07,10.9,16.6,22.3,9.4,1.45,14.42
1899-12,81.72,6.3,12.2,18,5,1.16,11.14
1900-01,108.64,6.7,12.1,17.5,5.7,1.09,9.87
1900-02,10.05,6.6,12.8,19.1,4.4,1.39,12.85
