Year,Month,Nllano (mm),Sllano (mm),Junction (mm),mason (mm),llano (mm)
1948,1,186.884,188.593,188.954,183.561,177.128
1948,2,183.893,185.797,186.250,189.249,188.837
1948,3,179.508,181.753,182.355,194.946,200.121
1948,4,190.232,192.517,193.212,206.063,214.693
1948,5,217.071,219.910,220.527,235.859,249.391
1948,6,265.165,271.127,271.394,262.814,256.929
1948,7,291.381,298.804,298.564,264.943,239.662
1948,8,266.242,272.722,272.639,244.663,223.853
1948,9,274.628,281.377,280.806,238.640,207.173
1948,10,286.402,293.276,291.994,238.157,194.789
1948,11,267.561,273.507,272.214,223.323,182.321
1948,12,251.686,256.516,255.765,217.453,184.265
1949,1,271.756,276.406,276.476,246.733,220.067
1949,2,327.438,332.422,332.385,295.727,264.992
1949,3,336.410,341.190,340.745,308.551,280.758
1949,4,353.249,357.111,357.772,357.897,351.157
1949,5,372.037,374.051,375.848,392.423,390.434
1949,6,362.737,364.322,365.595,364.092,348.936
1949,7,329.626,332.613,332.713,317.159,296.793
1949,8,310.603,314.099,313.227,281.775,248.962
1949,9,332.810,335.591,333.794,279.631,231.974
1949,10,361.266,363.698,361.207,301.199,253.840
1949,11,341.677,344.145,341.576,289.272,249.475
1949,12,328.884,331.323,328.935,286.988,254.388
1950,1,321.276,323.658,321.563,289.151,262.475
1950,2,306.587,308.888,307.921,300.361,287.343
1950,3,276.164,278.847,278.662,291.046,293.315
1950,4,286.823,290.084,290.252,303.088,306.223
1950,5,323.061,325.561,325.820,328.824,326.115
1950,6,317.277,318.687,318.356,308.494,299.895
1950,7,325.363,327.085,326.003,288.718,263.942
1950,8,341.940,343.984,341.859,274.936,228.523
1950,9,333.950,336.064,333.326,266.484,220.746
1950,10,300.421,302.827,300.782,249.528,214.375
1950,11,259.810,261.807,260.046,218.597,189.280
1950,12,231.383,233.209,231.659,195.735,169.583
1951,1,209.049,210.716,209.320,177.312,153.984
1951,2,195.918,197.671,196.601,175.051,159.729
1951,3,195.913,197.926,197.208,188.009,182.946
1951,4,195.325,197.842,197.595,198.186,197.530
1951,5,203.124,206.611,207.276,235.951,241.314
1951,6,214.406,217.944,218.851,257.968,266.178
1951,7,178.597,180.741,180.899,203.373,207.536
1951,8,167.935,169.494,169.366,172.235,170.159
1951,9,160.049,161.160,160.901,163.886,174.148
1951,10,147.212,148.893,148.051,156.296,174.397
1951,11,135.331,137.535,136.346,142.501,156.832
1951,12,124.154,126.302,125.024,130.226,142.950
1952,1,114.009,115.970,114.787,120.917,132.519
1952,2,110.920,113.312,112.166,121.244,133.841
1952,3,118.879,122.056,121.157,135.188,151.341
1952,4,154.189,157.880,158.204,192.670,222.705
1952,5,219.781,222.337,224.018,272.560,309.452
1952,6,225.968,226.810,228.850,276.583,308.388
1952,7,185.587,186.022,187.752,228.520,254.776
1952,8,142.602,142.726,143.837,171.154,187.589
1952,9,181.345,182.473,187.196,250.210,269.279
1952,10,205.414,207.240,214.534,303.437,324.174
1952,11,215.844,218.289,224.468,303.343,324.376
1952,12,248.665,252.218,257.914,341.101,371.107
1953,1,243.628,247.295,252.669,339.157,375.339
1953,2,222.855,226.177,231.345,318.851,356.177
1953,3,219.678,222.163,226.609,305.811,341.995
1953,4,211.171,212.706,216.987,301.283,346.897
1953,5,214.893,217.012,221.321,314.507,373.625
1953,6,187.238,189.175,192.232,267.357,320.977
1953,7,171.559,172.241,174.953,231.267,268.727
1953,8,168.891,170.425,172.193,213.634,244.545
1953,9,173.701,178.050,177.992,213.454,242.927
1953,10,194.519,199.506,198.773,240.574,271.163
1953,11,191.488,195.459,195.092,239.700,271.694
1953,12,179.368,183.364,182.917,225.707,260.537
1954,1,175.267,179.454,178.865,216.409,250.348
1954,2,162.158,165.936,165.418,196.386,224.863
1954,3,145.170,147.865,147.662,181.298,207.969
1954,4,164.296,166.022,165.989,191.525,206.534
1954,5,202.581,203.308,202.944,213.419,215.662
1954,6,215.020,216.294,214.724,198.452,181.889
1954,7,181.592,184.063,182.019,160.407,143.420
1954,8,144.216,146.177,144.192,121.283,109.832
1954,9,128.807,130.739,128.795,108.397,98.247
1954,10,136.635,138.914,137.242,123.437,114.259
1954,11,135.203,137.544,136.603,138.572,137.855
1954,12,121.943,123.996,123.327,129.623,134.071
1955,1,129.854,132.029,131.614,140.765,146.322
1955,2,142.576,145.364,145.384,164.099,177.451
1955,3,142.012,145.200,145.246,169.005,187.828
1955,4,124.610,127.316,127.355,149.451,168.722
1955,5,140.166,143.221,143.656,174.305,193.970
1955,6,168.572,172.130,173.074,215.886,238.523
1955,7,202.164,206.770,206.746,223.792,235.172
1955,8,236.859,242.732,241.771,227.527,224.639
1955,9,249.428,255.036,254.549,239.550,231.727
1955,10,239.707,245.027,244.962,231.880,218.775
1955,11,230.320,235.670,235.042,213.570,194.783
1955,12,220.697,226.169,225.252,205.851,189.754
1956,1,213.992,219.172,218.586,206.340,196.329
1956,2,210.408,215.196,214.904,207.675,201.483
