ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
3,11/3/1944,12/25/1944,53,24605.7,3760,464.2584906,8.098936425
5,12/27/1944,1/16/1945,21,5136,532,244.5714286,2.175233645
7,1/18/1945,2/2/1945,16,19443,4200,1215.1875,3.456256751
9,2/4/1945,3/12/1945,37,6971,940,188.4054054,4.989241142
11,3/14/1945,3/28/1945,15,608,88,40.53333333,2.171052632
13,3/30/1945,4/18/1945,20,23016,4520,1150.8,3.927702468
15,4/20/1945,5/8/1945,19,9430,1850,496.3157895,3.727465536
17,5/11/1945,6/1/1945,22,2621.8,602,119.1727273,5.051491342
19,6/4/1945,6/21/1945,18,347.2,70,19.28888889,3.629032258
21,6/23/1945,8/7/1945,46,430.2,85,9.352173913,9.088795909
23,8/9/1945,8/11/1945,3,4.9,1.8,1.633333333,1.102040816
25,8/15/1945,9/20/1945,37,33255,9840,898.7837838,10.9481281
27,9/23/1945,11/14/1945,53,3561.1,424,67.19056604,6.310409705
29,11/19/1945,12/21/1945,33,7649.9,940,231.8151515,4.054954967
31,12/23/1945,1/2/1946,11,9564,1540,869.4545455,1.771225429
33,1/4/1946,2/4/1946,32,23257,1580,726.78125,2.173969128
35,2/6/1946,3/4/1946,27,20529,1700,760.3333333,2.235861464
37,3/6/1946,3/23/1946,18,3650,764,202.7777778,3.767671233
39,3/25/1946,4/14/1946,21,1489.1,264,70.90952381,3.723054194
41,4/16/1946,5/10/1946,25,714.6,70,28.584,2.448922474
43,5/12/1946,6/30/1946,50,44537,4880,890.74,5.478590835
45,7/2/1946,7/13/1946,12,6656,1230,554.6666667,2.217548077
47,7/15/1946,8/14/1946,31,1957.6,844,63.1483871,13.36534532
49,8/16/1946,8/18/1946,3,12.9,4.4,4.3,1.023255814
51,8/20/1946,10/23/1946,65,5684.9,830,87.46,9.490052595
53,10/25/1946,10/31/1946,7,561,194,80.14285714,2.420677362
55,11/2/1946,12/9/1946,38,55422,5170,1458.473684,3.544801703
57,12/11/1946,12/29/1946,19,2009,219,105.7368421,2.071179691
59,12/31/1946,3/4/1947,64,27798,1620,434.34375,3.729764731
61,3/6/1947,5/15/1947,71,4045.9,887,56.98450704,15.56563435
63,5/18/1947,7/8/1947,52,15694,1580,301.8076923,5.235121703
65,7/10/1947,8/8/1947,30,392.3,101,13.07666667,7.723680856
67,8/15/1947,10/3/1947,50,1345,264,26.9,9.814126394
69,10/5/1947,10/13/1947,9,31.3,5.9,3.477777778,1.696485623
71,10/17/1947,10/27/1947,11,32.7,6.6,2.972727273,2.220183486
73,10/29/1947,11/6/1947,9,24.7,5.3,2.744444444,1.931174089
75,11/11/1947,1/10/1948,61,4047.1,411,66.34590164,6.194806157
77,1/12/1948,2/19/1948,39,1561.1,113,40.02820513,2.823009416
79,2/22/1948,4/7/1948,46,1842.9,199,40.06304348,4.967171306
81,4/9/1948,4/21/1948,13,674.3,235,51.86923077,4.530624351
83,4/23/1948,5/4/1948,12,610.3,171,50.85833333,3.362280845
85,5/6/1948,5/23/1948,18,283.5,62,15.75,3.936507937
87,5/25/1948,6/26/1948,33,378.4,90,11.46666667,7.848837209
89,6/28/1948,8/2/1948,36,95.8,12,2.661111111,4.509394572
91,8/12/1948,8/18/1948,7,2.4,0.6,0.342857143,1.75
93,9/5/1948,11/1/1948,58,112.2,5.7,1.934482759,2.946524064
95,11/16/1948,12/24/1948,39,133.4,18,3.420512821,5.262368816
97,12/29/1948,12/30/1948,2,0.6,0.3,0.3,1
99,1/2/1949,1/6/1949,5,1.5,0.3,0.3,1
101,1/16/1949,2/4/1949,20,1070.1,264,53.505,4.934118307
103,2/6/1949,3/7/1949,30,9804.4,1460,326.8133333,4.467381992
105,3/9/1949,3/19/1949,11,1147,175,104.2727273,1.678291194
107,3/21/1949,4/18/1949,29,8487.3,924,292.6655172,3.157187798
109,4/20/1949,5/24/1949,35,10217.6,1100,291.9314286,3.768008143
111,5/26/1949,6/12/1949,18,748.4,217,41.57777778,5.219134153
